[8/2/2024, 7:32:04 PM]:[INFO] - [wm] already signed in?,true
[8/2/2024, 7:32:08 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[8/2/2024, 7:32:08 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[8/2/2024, 7:32:08 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[8/2/2024, 7:32:08 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[8/2/2024, 7:32:08 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[8/2/2024, 7:32:08 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[8/2/2024, 7:32:11 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[8/2/2024, 7:32:11 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[8/2/2024, 7:32:12 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[8/2/2024, 7:32:12 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[8/2/2024, 7:32:12 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[8/2/2024, 7:32:12 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[8/2/2024, 7:33:22 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setThemePreference
[8/2/2024, 7:33:23 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[8/2/2024, 7:33:23 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[8/2/2024, 7:33:23 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[8/2/2024, 7:33:23 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setLocales
[8/2/2024, 7:33:23 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setEditorType
[8/2/2024, 7:33:23 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[8/2/2024, 7:33:23 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[8/2/2024, 7:33:23 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[8/2/2024, 7:33:23 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,spellingGetLanguages
[8/2/2024, 7:33:23 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setIsLibrary
[8/2/2024, 7:33:23 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setIsTeamTemplate
[8/2/2024, 7:33:24 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[8/2/2024, 7:33:24 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setRealtimeToken
[8/2/2024, 7:33:24 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setRealtimeToken
[8/2/2024, 7:33:24 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[8/2/2024, 7:33:24 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[8/2/2024, 7:33:24 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[8/2/2024, 7:33:24 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[8/2/2024, 7:33:25 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[8/2/2024, 7:33:25 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[8/2/2024, 7:33:34 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[8/2/2024, 7:39:43 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[8/2/2024, 7:39:48 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[8/2/2024, 7:39:51 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
